id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
84,211,대학 교수 및 강사,4,3,3,4,3,3,교육·교사
85,2111,대학 교수,3,3,3,3,3,3,교육·교사
86,2112,대학 강사,4,3,3,4,3,3,교육·교사
87,212,학교 교사,4,3,3,4,4,3,교육·교사
88,2121,중·고등학교 교사,4,3,3,4,4,3,교육·교사
89,2122,초등학교 교사,4,3,3,4,4,3,교육·교사
90,2123,특수교육 교사,4,3,3,4,4,3,교육·교사
91,2129,기타 교사,4,3,3,4,4,3,교육·교사
92,213,유치원 교사,4,3,3,4,4,3,교육·교사
93,2130,유치원 교사,4,3,3,4,4,3,교육·교사
94,214,문리·기술·예능 강사,4,3,3,4,3,3,교육·교사
95,2141,외국어 강사,4,3,3,4,3,3,교육·교사
96,2142,문리 강사,4,3,3,4,3,3,교육·교사
97,2143,정보통신기술 강사,4,3,3,4,3,3,교육·교사
98,2144,기술 및 기능계 강사,4,3,3,4,3,3,교육·교사
99,2145,간호조무 및 요양보호 강사,4,3,3,4,4,3,교육·교사
100,2146,자동차 운전 강사,4,3,3,4,3,3,교육·교사
101,2147,예능 강사,4,3,3,4,3,3,교육·교사
102,2148,학습·교구 관련 방문강사,4,3,3,4,3,3,교육·교사
103,2149,기타 문리·기술 및 예능 강사,4,3,3,4,3,3,교육·교사
104,215,장학관 및 기타 교육 종사자,3,3,3,4,3,3,기타전문직
105,2151,장학관·연구관 및 교육 관련,3,3,5,4,3,3,연구원(R&D)
106,2152,대학 교육 조교,3,3,3,4,3,3,기타전문직
107,2153,교사보조 및 관련 종사원,4,3,3,4,4,3,교육·교사
108,2159,기타 교사보조 및 아동돌봄,4,3,3,4,4,3,교육·교사
109,22,법률직,3,3,3,3,3,3,기타전문직
110,221,법률 전문가,3,3,3,3,3,3,기타전문직
111,2211,판사 및 검사,3,4,3,3,3,3,기타전문직
112,2212,변호사,3,3,3,3,3,3,기타전문직
113,2213,법무사 및 집행관,3,4,3,3,3,3,기타전문직
114,2214,변리사,3,3,3,3,3,3,기타전문직
115,2219,기타 법률 전문가,3,3,3,3,3,3,기타전문직
116,222,법률 사무원,3,3,3,3,3,3,행정·사무
117,2220,법률 관련 사무원,3,3,3,3,3,3,행정·사무
118,23,사회복지·종교직,4,3,3,3,4,3,기타전문직
119,231,사회복지사 및 상담사,4,3,3,3,4,3,상담사/심리상담사
120,2311,사회복지사,4,3,3,3,4,3,기타전문직
121,2312,상담 전문가,4,3,3,3,3,3,상담사/심리상담사
122,2313,청소년 지도사,3,3,3,3,3,3,기타전문직
123,2314,직업 관련 상담사,4,3,3,3,4,3,상담사/심리상담사
124,2315,시민사회 활동가,3,3,3,3,3,3,기타전문직
125,232,보육교사 및 기타 사회복지,4,3,3,4,4,3,교육·교사
126,2321,보육교사,4,3,3,4,4,3,교육·교사
127,2322,보육 관련 시설 돌봄 종사원,3,3,3,3,3,3,기타전문직
128,2329,기타 사회복지 전문가 및 관련,4,3,3,3,4,3,기타전문직
129,233,성직자 및 기타 종교 종사자,3,3,3,3,3,3,기타전문직
130,2331,성직자,3,3,3,3,3,3,기타전문직
